citynames
Atreyapuram
Attili
Attingal
Attur
Aundha
Aundha Nagnath
Aungara
Aurad Shahajani
Auraiya
Aurangabad
Aurangabad(Bihar)
Ausa
Authoor
Authoor North
Authoor South
Avadi
Avanam
Avanigadda
Avidi
Avinashi
Ayakkaranpulam(vedaranyam)
Ayanoor
Ayodhya
Ayyampet
Ayyampettai
Azamgarh
Azhagiyamandapam
B.gudur
Baanavara
Bableshwar
Babra
Bacheli
Badami
Baddi
Badiyadka
Badnagar
Badnapur
Badnera
Badoli
Badvel
Bagalkot
Bagalkot (vidyagiri)
Bagasara
Bagdana
Bagdu
Bagepalli
Bagha Purana
Bagicha
Bagodra
Bagra
Baijnath
Baikunthpur
Bail hongala
Bailadila
Bailhongal
Bailur
Baindur
Bairumbe
Bajagoli
Bajpe
Balabadrapuram
Balaganganapalle
Balaghat
Balanthram
Balapur
Baldiya
Balehonnur
Balesar
Balijakandriga
Ballamavati
Ballia
Balotra
Balrampur
Balurghat
Bambavade
Bamnod
Banaganapalli
Banahatti
Banas
Banavasi
Banda
Bandardwa
Bandarulanka
Bandipura
Bandra
Banga
Bangalore
Bangalore Intl Airport
Bangarupalyem
Bangla
Bannadi
Bannari
Banswara
Bantumilli
Bapatla
Bar
Baramati
Baran
Barbil(Odisha)
Bardoli
Bareilly
Barhampur
Baripada
Barkur
Barmer
Baroda
Barshi
Barwaha
Barwala
Basavakalyan
Basavana Bagewadi
Basmath
Basrur
Bastar
Basti
Batala
Bathalagundu
Bathalapalli
Bathinda
Battiprolu
Bayad
Bayyaram
Bc Road
Beas
Beas (pb)
Beawar
Beawara
Bediya
Beed
Behror
Bejai
Belagavi
Belapur
Belgaum
Bellampally
Bellare
Bellary
Bellur
Bellur Cross
Belman
Belthangady
Belukurichi
Belur
Belvai
Beneshvar
Berhampur
Bestavaripeta
Betul
Bhachau
Bhader
Bhadgaon
Bhadra
Bhadra Project
Bhadrachalam
Bhadragiri
Bhadravati
Bhadrawati
Bhadrod
Bhadthar
Bhainsa
Bhalki
Bhamragarh
Bhancha
Bhandara
Bhandup
Bhanjanagar
Bhanvad
Bharatpur
Bharuch
Bharuch Bypass
Bhatiya
Bhatkal
Bhavani
Bhavani(Byepass)
Bhavnagar
Bhawanipatna
Bhayandar
Bhel
Bherya
Bhesada
Bheshan
Bhilada
Bhilai
Bhiloda
Bhilwara
Bhim
Bhimadolu
Bhimavaram
Bhind
Bhingrad
Bhinmal
Bhivandi
Bhiwandi
Bhokar
Bhoom
Bhopal
Bhor
Bhubaneswar
Bhuj
Bhujpar
Bhujpur
Bhungra
Bhuntar
Bhupalpally
Bhusawal
Bidada
Bidar
Bidarugod
Bidkalkatte
Bijadi
Bijapur
Bijoor
Bikaner
Bikkavolu
Bilagi
Bilaspur(Himachal Pradesh)
Bilimora
Bilkha
Biloli(Maharashtra)
Bir
Birur
Bobbili
Bodhan
Bodi
Bodwad
Boisar
Bokaro
Bolangir
Borada
Borgaon
Borivalli
Borsad
Botad
Brahmana Cheruvu
Brahmanagudem
Brahmapur
Brahmavar
Bramavar
Buchireddypalem
Budhel
Bugga
Buldana
Bundi
Burhanpur
Burla
Byadagi
Bylakuppe
Bylukuppe
Byndoor
C.B.D Belapur
Calicut
Canacona
Chabua
Chadachan
Chagalamarri
Chagallu
Chakan
Chakur
Chala
Chalakudy
Chalisgaon
Challakere
Challapalli
Challavanipeta
Chalode
Chamarajanagara
Chamba
Chanasma
Chandahandi
Chandanagar
Chandgad
Chandigarh
Chandikol
Chandolu
Chandrapur
Chandrasekharapuram
Chandur Railway
ChandurBazar
Changanassery
Changaveti
Channagiri
Channapatna
Channarayapatana
Channarayapatna
Charkala
Chatrai
Chavadi
Chavakad
Chavand
Chebrolu (Guntur Dist.)
Chebrolu W.G
Chembur
Chempi
Chengalpattu
Chengam
Chengannur
Chenkalpattu
Chennai
Chennimalai
Chennur
Cherla
Chermadevi
Cherthala
Cherukupalli
Cherupuzha
Chhapi
Chhatral
Chhattarpur
Chhegaon Makhan
Chhindwara
Chickodi
Chidambaram
Chikhaldara
Chikhali
Chikhali(bilimora)
Chikhli
Chikkaballapura
Chikkalsandra (bangalore)
Chikkanayakanahalli
Chikmagalur
Chikodi
Chilakaluripet
Chilamkur
Chiloda
Chimakurthy
Chimur
Chinakurli
Chinchinada
Chingavanam
Chinnalapatti
Chinnamandem
Chinnamanur
Chintakunta Ka Ap Border
Chintalapudi (W.G. Dist.)
Chintamani
Chintaparthi
Chintpurni
Chiplun
Chipurupalli
Chirala
Chirawa
Chital
Chithode
Chitradruga By Pass
Chitradurga
Chitrakonda
Chittoor
Chittoor (kundapura Karnataka)
Chittoor Rajasthan
Chittorgarh
Chittorgarh 
Chitvel
Chityala(W Godavari)
Choki(sorath)
Chomu
Chopda
Chorla Ka Ga Border
Chotila
Chousala
Churu
Cinnamanur
Cochin
Cochin Airport
Coimbatore
Colachel
Coonoor
Coorg
Cudalore
Cuddalore
Cumbum (Tamilnadu)
Cumbum AP
Cuttack
Dabhol
Dabok
Dabra
Dabwali
Dachepalli
Dadar
Dahanu
Dahegam
Dahisara
Dahod
Dairy Farm
Dakor
Dalhousie
Damalacheruv
Daman
Damanjodi
Damnagar
Damoh
Dandeli
Dantewada
Dapoli
Daramali
Darbhanga
Darsi
Darwah
Darwha
Daryapur
Data
Datala
Datia
Datrana
Dausa
Davanagere
Davangere Byepass
Dayapar
De Sai Camp
Deepnagar
Deesa
Degloor
Dehra
Dehradun
Delhi
Delhi Airport
Delhi Domestic Airport
Deogad
Deolgaon Raja
Deoli
Deori
Deorukh
Deralakatte
Desalpar
Deshnokh
Deulgaon Raja
Devadhanapatti
Devadurga
Devakottai
Devapur
Devar Hippargi
Devarapally
Devarkulam
Devdurga
Devgad
Devipattinam
Devla
Devli
Devrajiya
Dewas
Dhamnod
Dhampur
Dhamtari
Dhanaj
Dhanbad
Dhandhuka
Dhanera
Dhangdhra
Dhanora
Dhansura
Dhar
Dharampur
Dharampur (gj)
Dharampur(Mandi HP)
Dharamshala
Dharangaon
Dharapuram
Dhari
Dharmapuri (Tamil Nadu)
Dharmapuri (Telengana)
Dharmastala
Dharmavaram(Anantapuram)
Dharni
Dharwad
Dhasa
Dhenkanal
DhindiVanam
Dhokadava
Dhoki
Dhola
Dholera
Dholpur
Dhone
Dhoraji
Dhorimanna
Dhrol
Dhule
Dhulia
Dibrugarh
Didwana
Digboi
Digha
Digras
Dimbam
Dindigul
Dindugal Byepass
Dipnagar
Diu
Diveagar
Dobcherla
Doddipatla
Dolasa
Dolatper
Dombivali
Dommeru
Dondaecha
Dongaon
Donimalai
Doomdooma
Doopadakatte
Dornal
Dowlaiswaram
Draksharamam
Dubacherla
Duddukuru (Prakasham District)
Duddukuru (West Godavari)
Dudhai
Dudhala
Dudu
Duggiralla
Duliajan
Dungar
Dungargarh
Dungarpur
Durg
Durg MP
Durgapur
Durgi(Macherla)
Duttalur
Duvuru
Duvva
Dwarapudi
Dwarka
Dwarkathirumala
Edamon
Edapal
Edappal
Edappally 
Edarikode
Edur
Edurlanka
Edurlanka(Bridge)
Elayankudi
Elurpatti
Eluru
Eluru (By-Pass)
Elurupadu
Emmiganur (Karnataka)
Epuru Guntur Dist.
Epurupalem
Eral
Eramalloor
Erandol
Erattupetta
Ermal
Ernakulam
Ernakullam  Byepass
Erode
Erode Bypass
Erravaram
Erumapatti
Erumely
Ervadi
Ervadi-Nellai
Eslapuram [puttur Ap]
Etapalli
Etawah
Ethakota
Ettayapuram
Ettayapuram Bypass
Ettimadai
Ettumanoor
Faizabad
Faizpur
Falna
Farakka
Faridkot
Farukhabad
Fatehnagar
Fatehpur
Fazilka
Ferozpur
Firozabad
Forbesganj
Gabbur
Gadag
Gadchiroli
Gaddankeri Cross
Gadhada
Gadhag
Gadhinglaj
Gadhshisha
Gadu
Gaduli
Gagal
Gaganbavada
Gajendragadh
Gajuwaka
Galagali
Galiakot
Ganapavaram
Gandepalli
Gandhidham
Gandhinagar
Gangakhed
Ganganagar
Gangapur(MH)
Gangawati
Gangolli
Gangtok
Gannavaram
Ganpati Pule
Gantalkatte
Gargoti
Garividi
Gariyadhar
Garladinne
Gaya
Gazipur
Gerusoppa
Ghatanji
Ghatkopar
Ghaziabad
Ghazibad
Ghumarwin
Giddalur
Girgathda
Giridih
Goa
Gobi
Gobichettipalayam
Godavarikhani
Godhra (Ambe Dham)
Gogamukh
Gogunda
Gojariya
Gokak
Gokarna
Gokarna Cross
Gokavaram
Gola
Goliangadi
Gollapalem
Gollavilli
Gondal
Gondia
Gonikoppalu
Gooty
Gopalapuram West Godavari Dist.
Gopalganj
Gopichettipalayam
Gorakhpur
Gorantla
Goraya
Goregaon
Gouripatnam
Govada
Govindpur
Gowribidanur
Gubbi
Gudalur - Cumbum TN
Gudalur-Ooty
Gudavalli
Guddeangadi
Gudihatnur
Gudivada
Gudiyatam
Guduru (By-Pass)
Guduru(Nellore District)
Guhaghar
Gulabpura
Gulbarga
Guledgudda
Gullapura
Gumla
Guna
Gundalpet
Gundlupet
Gundugulanu
Gundya
Guntakal
Gunthakal
Guntur
Gunupur
Guramkonda
Gurdaspur
Gurgaon
Gurumitkal
Gurupura
Guruvayanakere
Guruvayankere
Guruvayoor
Guruvyapalem
Gutti
Guwahati
Gwalior
Hadpid
Hagaribommanahalli
Hajipur
Haladi
Haldipur
Haldwani
Haleangady
Halekatte
Haleyangady
Haliyal
Halli
Halol
Halvad
Hamirpur
Hampi
Hanagal
Hanmakonda
Hanuman Junction
Hanumangarh
Hanumangarh 
Hanumangarh Jn
Harapanahalli
Harda(mp)
Haridwar
Harihara
Hariharapura
Harij
Haripad
Harugeri Cross
Hasanur
Hassan
Hathkhamba
Hatkanangale
Hatkhamba
Hatti
Havasa
Haveri
Hazaribagh
Hebri
Heggodu/sagar
Heggodu/thirtahalli
Hemmadi
Himatnagar
Himmatnagar
Hindupur
Hinganghat
Hingoli
Hirakud
Hiramandalam
Hirekerur
Hiriyadka
Hiriyur
Hisar
Holalkere
Holenarasipura
Honavar
Honnali
Honnavar
Horanadu
Hosadurga
Hosakoppa
Hosakote
Hosanadu
Hosanagar
Hosangabaad
Hosangadi
Hoshiarpur
Hosmar
Hospet
Hosur
Hubli
Hubli Byepass
Hulikal
Huliyuru
Humcha
Humnabad
Hunagund
Hungund
Hunsagi
Hunsemakki
Hunsur
Hutti
Huvinahadagali
Hyderabad
Hyderabad Airport
Ibrahimpatnam
Ibtandur
Icchapuram
Ichalakarangi
Ichalkaranji
Ichoda
Idaikal
Idar
Idayamelur
Ieez
Igatpuri
Ilayangudi
Ilkal
Indapur
Indi
Indore
Ingorala
Injamuru
Injaram(Yanam)
Inkollu
Irinjalakuda
Iritty
Islampur
Itagi
Itanagar
Itarsi
Jabalpur
Jadcharla
Jadkal
Jafrabad
Jagadalpur
Jagalur
Jagannadhagiri
Jagdalpur
Jaggaiahpet
Jaggampet
Jagityal
Jagraon
Jaipur Karnataka
Jaipur(Rajastan)
Jaisalmer
Jaisinghpur
Jaisingpur
Jaitaran
Jakadevi
Jakkanahalli
Jakkaram
Jalandhar
Jalgaon
Jalgoan
Jalna
Jalore
Jamb
Jamjodhpur
Jamkandona
Jamkhambhalia
Jamkhandi
Jamkhed
Jammalamadugu
Jammu
Jammulapalem
Jamnagar
Jamner
Jamshedpur
Jamshedpur Tata
Jamvada
Jangareddy Gudem
Jannaram
Jaora
Jashpur
Jassur
Jath(Sangli)
Jaunpur
Javagal
Jawala Ji
Jawhar
Jayankondam
Jayapura
Jaysingpur
Jedcharla
Jeelugumilli
Jejuri
Jetpur
Jewargi
Jeypore
Jhadan
Jhalawar
Jhalrapatan
Jhandutta
Jhansi
Jharsuguda
Jhunjhunu
Jindal
Jindal Co. (Mundra)
Jintur
Jodhpur
Jog falls
Jogbani
Joginder Nagar
Joida
Jonnada
Jorhat
Julurupadu
Julwania
Junagadh
Juvvalapalem
K R Nagar
K.R.Pet
Kada
Kadaba
Kadaiyanallur
Kadaladi
Kadapa
Kadapa (By Pass)
Kadara
Kadayam
Kadayanallur
Kadhiri
Kadi
Kadiyam
Kadodara
Kadri
Kadur
Kagwad
Kaiga
Kaij
kaikaluru
Kaikamba
Kaikaram
Kaikatti
Kailadevi
Kakani
Kakinada
Kakroli
Kakumanu
kalady
Kalaiyarkovil
Kalakad Tn
Kalakada
Kalamassery
Kalamb
Kalamboli
Kalappanaicken Patti
Kalasa
Kalasapadu
Kalavad
Kalayar Kovil
Kalayarkoil
Kalghatgi
Kaliakavilai
Kaliakkavilai
Kalidindi
Kaligiri
Kalikiri
Kalikkavilai
Kalka
Kalla
Kallady
Kallakurichi
Kallal
Kallidaikurichi
Kalligudi
Kalloorani
Kallur Kerala
Kalluru (Andhra Pradesh)
Kalluru (Telangana)
Kalol
Kalpakam
Kalpetta
Kalpi
Kalvakurthy
Kalyan
Kalyandurgam
Kamalapur(Maharashtra)
Kamalapuram
Kaman(Maharashtra)
Kamanayakkanpatti
Kamareddy
Kamavarapukota
Kambadakone
Kamepalli (Prakasam Dist.)
Kamlapur
Kamlighat
Kammakandriga
Kammardi
Kammarpally
Kamothe
Kampli
Kamrej
Kamudi
Kamudi Vilakku
Kanakagiri
Kanchikacherla
Kanchipuram
Kandalur
Kandavelli
Kandhar
Kandukuru
Kandukuru Khammam Dist
Kaneyur
Kangayam
Kangra
kanhangad
Kanigiri
Kanipakam
Kanjangad
Kanjirappally
Kankavali
Kankavli
Kankipadu
Kankroli
Kankumbi
Kannad
Kannirajapuram
Kannur(cannanore)
Kanpur
Kansur(sirsi)
Kanyakumari
KAPADWANJ
Kapasan
Kapu
Kapu(Karnataka)
Karad
Karad Byepass
Karaikal
Karaikudi
Karal
Karamchedu
Karampudi
Karanja
Karanja Lad
Karanjani
Karapa
Karatagi
Karauli
Karera
Kariapatti
Karimnagar
Karjat
Karkala
Karmala
Karnal
Karnala
Karumattampatti
Karunagapilly
Karungal
Karur
Karur Byepass
Karuvanchal
Karwar
Kasal
Kasargod
Kasegaon
Kasol
Katapadi
Kateel
Katghora
Kathgodam
Kathipudi
Kathmandu
Katil
Katni
Katol
Katpadi
Katra
Katrenikona
Katta
Kattappana
Kattumavadi
Kaup
Kavali
Kavalkinar
Kavalkinaru
Kavathe Mahankal
Kaveripattanam
Kavoor
Kayalpattinam
Kayamkulam
Kayamozhi
Kayatharu
Kazhakoottam
Kazhugumalai
Keela Eral
Keelakarai
Keelasevalpatti
Kekkanahalla Ka Tn Border
Kekri
Kelwa
kendrapada
Kenjoor
Keonjhar
Kera
Keralapura
Kerur
Kesariya
Kesavaram
Keshod
Khadadhar
Khadiya
Khajipeta
Khajuraho
Khajuwala
Khakhar
Khalghat
Khambha
Khambhalia
Khamgaon
Khammam
Khanapur(Karnataka)
Khandala
Khandwa
Khanna
Kharepatan
Kharghar
Khargoan
Khariar Road
Khatima
Khed
Khed Brahma
Kheda
Khedbrahma
Kheralu
Kherdi
Kherwara
Kholapur
Khopoli
Kibbanahalli Cr
Kichha
Kidangoor
Kilari
Kim
Kinathukadavu
Kinnigoli
Kinwat
Kirimanjeshwara
Kishanganj
Kishangarh
Kochi
Kochi Airport
Kodada
Kodaganahalli
Kodai Road
Kodaikanal
kodakara
Kodali
Kodamanchili
Kodangal
Kodinar
Kodlipet
Kodungalore
Koduvally
Koilakuntla
Kokkarne
Kokrud
Kolad
Kolanka
Kolar
Kolar Gold Field
Kolhapur
Kolhapur Byepass
Kolimigundla
Kolkata
Kollam
Kollegala
Kollipara
Kollur
Kollur (Mookambika)
Kolluru  Cross
Komanapalli
Komaragiri
Komarapalayam
Komarolu
Kombai
Kommuru
Konaje
Konanur
Kondagaon
Kondalhally
Kondapuram(PLVD)
Kondhali
kondotty
Kongale
Konni
Konnur
Koothanallur
Koothattukulam
Koottanad(edapal road)
Kopargaon
Koppa
Koppal
Koraput
Koratagere
Koratty
Korukollu
Korutla
Kosamba
Kota (udupi Dist)
Kota(Karnataka)
Kota(Rajastan)
Koteshwar
Koteshwara
Kothacheruvu
Kothagudem
Kothamangalam
Kothapalli
Kothapeta
Kothara
Kothuru
Kotkapura
Kotputali
Kottakkal
Kottampatti
Kottapattinam
Kottara Chowki
Kottarakkara
Kottayam
Kottigehar
Kotturu
Kovai
Kovilpatti
Kovilpatti Byepass
Kovvuru
Kovvuru Rjy
Kovvuru Toll Gate
Koyilandi
Koyyalagudem
Kozhenchery
KREC
Krishnagiri
Krishnan Kovil
Krishnapura
Krishnapuram
Kruthivennu
Kuchipudi (Guntur Dist.)
Kuchipudi (Krishna Dist.)
Kuda(Maharashtra)
Kudal
Kudithini
Kudlagi
Kuduregundi
Kudus
Kukanoor
Kukke Subramanya
Kukma
Kuknur
Kulai
Kulasekaram
Kulasekarapattinam
Kulgeri Cross
Kulithalai
Kullu
Kullu Mandi
Kumbakonam
Kumbanad
Kumbarawada
Kumbhashi
Kumbla
Kumily
Kumta
Kundapur
Kundapura
Kundara
Kundurpi
Kunigal
Kunkuri
Kunnamangalam
Kunnamkulam
Kunnicode
kunta
Kunta - Markapuram
Kunwariya
Kuppalli
Kuppam
Kuravilagad
Kurgodu
Kurichedu
Kurla
Kurnool
Kurnool Byepass
Kurugodu
Kurukshetra
Kurumbur
kurupumthara
Kuruvilangadu
Kushalnagar
Kushtagi
Kushtagi (Bye Pass)
kustagi
Kutiyana
Kuttikanam
Kuttippuram
Kuttiyadi
Kutuparamba
Kuyyeru
Lakhimpur
Lakkavally
Lakkavaram(Razol)
Lakkidi
Lakshmankudi
Lalbarra
Lalpur
Lanja
Lankala Koderu
Lathi
Latur
Laxetipet
Laxmangarh
Laxmeswar
Lenyadri
Levad Cho
Liliya
Limbdi
Limkheda
Linganamakki
Lingdal Titha
Lingsugur
Loha
Lokapur
Lolla
Lonar Phata
Lonavala
Londa
Loni
Lucknow
Ludhiana
Lunawada
M M Hills
M.Rediapatti
Mabukala
Machavaram(E.G. Dist.)
Macherla
Machilipatnam
Madakasira
Madanapalli
Madathukulam
Maddur(Karnataka)
Madduru
Madgaon
Madhagupatti
Madhavaram
Madhavpur
Madhira
Madhubani
Madhugiri
Madhupur
Madikeri
Madugapati
Madukkur
Madurai
Madurai Byepass
Mahabaleshwar
Mahableshwar
Mahableshwar Panchagani
Mahabubnagar
Mahad
Mahagaon
Mahalingpur
Mahbub Nagar
Mahe
Mahesana
Mahipalacheruvu
Mahurgad
Mahuva
Mainpuri
Majalgaon
Malakapalli
Malakoli
Malanjkhand
Malaparajagudem
Malapuram
Malda
Malebennur
Malegaon
Malegaon (dhulia)
Malegaon (washim)
Malhargarh
Malkangiri
Malkapur
Malkipuram
Mallapur
Mallipatna
Mallipattanam
Malout
Malvan
Mamidikuduru
Manali
Manamadurai
Manamelkudi
Mananthavady
Manavadar
Manchakal
Manchar
Mancherial
Manchikeri
Mandal
Mandalapalli
Mandamarri
Mandangad
Mandapalli
Mandapam
Mandapasalai
Mandapeta
Mandar
Mandarakuppam
Mandarmani
Mandarthi
Mandavalli
Mandi
Mandla
Mandsaur
Mandva
Mandvi
Mandya
Mangalagiri
Mangalagiri (Bye-Pass)
Mangalapuram
Mangalore
Mangalwedha
Mangaon
Mangapet
Mangrol
Mangrul Pir
Mangrulpir
Mangvana
Mani
Mani Nagar
Manipal
Manjari
Manjarpalke
Manjeri
Manki
Manki Mavinakatte
Mankuva
Manmad
Mannarkudi
Mannuthy
Mansa
Mansar
Mantada
Mantha
Mantralaya
Mantralayam
Manud
Manuguru
Manur
Manvi
Manwath
Mapusa
Maravamangalam
Maravanthe
Marayur
Margao Stand
Margoa
Mariyammanahalli
Markapuram
Marotan
Marteru
Marthandam
Marturu
Maski
Masthikatte
Masur
Matanomadh
Mathal
Mathura
Mattancheri
Mattannur
Mau
Mauda
Mavinagundi
Mavli
Mayasandra
Mayiladuthurai
Mecleod Ganj
Medapadu
Medarametla
Meenagadi
Meerut
Meghojholi
Meghpar
Megnanapuram
Mehdipur Balaji
Mehkar
Mehsana
Melkar
Mellur
Melmaruvathur
Melmarvatur
Mendarda
Merta
Metpally
Mettupalayam
Mettur
Mhow
Mimisal
Miraj
Mirjan
Miryalguda
Miryalguda Bypass
Mithapur
Modasa
Moga
Mohanur
Mohi
Mohol
Mokshagundam
Molakalmuru
Molem
Monday market
Monipally
Moodbidri
Moodubelle
Mookambika
Moonupeedika
Moovattupuzha
Mopidevi
Moradabad
Moran
Morbi
Morena
Mortad
Motala
MOTHADA ROAD
Motihari
Mount Abu
Movva
Mudabidre
Mudalagi
Mudalur
Muddanur
Muddebihal
Mudgal
Mudhol
Mudigere
Mudinepally
Mudipu
Mudradi
Mudrangandi
Mudukulathur
Mugalkhod
Mukaani
Mukerian
Mukhed
Mukka
Mukkam
Mukkamala
Muktainagar
Muktheswaram 
Muktsar
Mulanur
Mulbagal
Muleriya
Mulki
Mullikatte
Mulshi
Multai
Mulund
Mumbai
Mumbai (Dadar)
Mumbai(Borivali)
Mumbai(sion)
Mumbai(Thane)
Mummidivaram
Munavalli
Mundakayam
Mundgod
Mundkur
Mundra
Mundrigi
Munganda
Muniyal
Muniyala
Munnar
Mupkal
Muppavaram
Muramalla
Murari
Murnad
Murtijapur
Murud
Murudeshwar
Musiri
Muthupettai
Muthuramalingapuram
Mutthupettai
Muvattupuzha
Muzaffarpur
Mydukur
Mylavaram
Mysore
N R Pura
Nabarangpur
Nadapuram
Nadaun
Nadiad
Nadura
Naduvakurichi
Naduvil
Nagalapuram
Nagapattinam
Nagar
Nagara
Nagaram
Nagaur
Nagayalanka
Nagercoil
Nageshri
Nagmangala
Nagoor
Nagoor(karnataka)
Nagore
Nagothane
Nagpur
Nagrota Bagwan
Nagullanka
Naguluppalapadu
Nahan
Naharlagan
Naidupeta
Naidupeta (By-Pass)
Nainital
Najibabad
Nakhatrana
NAKIREKAL
Nakkapalli
Nalasopara
Nalgonda
Naliya
Nallajarla
Nallapadu
Namagiripettai
Namakkal
Nambuthalai
Nandaluru
Nanded
Nandgaon
Nandigama
Nandikotkur
Nandimandalam
Nandipadu
Nandura
Nandurbar
Nandyala
Nandyala Bypass
Nangli Ka Ap Border
Nanguneri
Nani Monpari
Nani Vavdi
Nanjangud
Napoklu
Naragund
Narakoduru
Naranpar
Narasannapeta
Narasaraopet
Narasimharaja Pura
Naravi
Narayanapura
Narayanapuram
Nardana
Nari MH
Narippaiyur
Narsampet
Narsapuram
Narsipatnam
Narsobawadi
Nashik
Nashirabad
Nasirabad
Nasrullaganj
Nathdwara
Nathdwara (Shrinathji)
Natta Rameswaram
Navalgund
Navanagar Bus Stand
Navapur
Navi Mumbai
Navsari
Navsari By Pass
Navunda
Nawalgarh
Nawarangpur
Nazareth
Nedunggandam
Needamanglam
Neemuch
Nelamangala
Nellimarla
Nellore
Nellore (By-pass)
Nelyady
Ner
Neralakatte
Neri
Nerul
Nesargi
Nesdi
Netra
Nevasa Phata
New Delhi
Newasa
Neyveli
Neyyattinkara
Nidadavolu
Nidagundi
Nidamaru
Nidamolu
Nidugundi
Nigadi
Nigala
Nilambur
Nilanga
Nileshwaram
Nimbahera
Nipani
Nipanni By Pass
Nippani
Nirmal
Nithiravilai
Nitte
Nittur/kou
Niwai
Nizamabad
Nohar
Noida
Nokha
Nossam
Nunna
Nuthalapadu
Nuzvid
Oddanchatram
Okha
Okkur
Ongole
Ontimitta
Ooty
Orai
Oras
Orathanadu
Osmanabad
Ottanchatharam
Ottapalam
Ottapidaram
Owk
P.Gannavaram
Pachod
Pachora
Pachpachiya
Padampur
Padra(Gujarat)
Padrauna
Padubidri
Padukone
Pahur
Pala
Palakkad
Palakkad Bypass
Palakollu
Palakonda
Palam
Palamaneru
Palampur
palani
Palanpur
Palarivattom
Palasa
Palavancha
Palayakayal
Palayam
Paldhi
Paldi
Palghar
Palghat
Palghat Byepass
Pali
Pali (mah.)
Palitana
Palladam
Pallamkuru
Pallapatti
Pallathur
Paloda
Palus
Pamarru(Krishna Dist.)
Pamidi
Pamidipadu
Pampa(sabarimalai)
Pampady
Pamuru
Panagarh
Panaikulam
Panaji
Panambur
Panavadalichatram
Panchgani
Panchkula
Pandalam
Pandalgudi
Pandavapura
Pandharkawada
Pandharpur(Aurangabad)
Pandurna
Paneli
Pangala
Pangaluru
Pangidi
Pangidi Gudem
Panipat
Panja
Panjim
Panna
Panoor
Panruti
Panrutti
Panvel
Paoni
Pappanasam
Parad
Paradeep
Paralachi
Parali
Paramakudi
Paramankurichi
Paramathi
Paramathivellore
Paranda
Parasala
Paratwada
Paravoor
Parbhani
Parchur
Pardi
Pargi
Paripally
Parkala
Parle
Parli
Parnasala
Parner
Parola
Partapur
Parthibanur
Parthoor
Parvadi
Parvathipuram
Parwanoo
Pasalapudi
Pasarlapudi
Pasra
Pasumarthi
Pasuvanthanai
Patan
Pathamadai
Pathanamthitta
Pathanapuram
Pathankot
Pathapatnam
Pathardi
Pathri
Patiala
Patna
Patoda
Pattamadai
Pattikonda
Pattukotai
Patur
Pavagada
Pavas
Pavithiram
Pavur Chattram
Payangadi
Payyanur
Payyoli
Pedana
Pedanandipadu
Pedapudi
Pedaravuru
Pedavadlapudi
Peddapally
Peddapuram
Pen
Penamaluru
Pendlimarri
Penuganchiprolu
Penugonda (West Godavari)
Penukonda(Anantapur)
Penumantra
Peraiyur
Perambalur
Perambavoor
Peravali
Peravaram
Peravurani
Percherla
Perdoor
